id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
aave-rai,arai,Aave RAI,2.81,0.0,0.0,2.74003
advanced-mortgage-and-reserve,amr,Advanced Mortgage & Reserve,0.496749,0.0,6791303.0,1.62355
aiearn,aie,AIEarn,1.4999e-08,0.0,7023.99,
ai-pepe-king,aipepe,AI PEPE KING,2.02612e-10,0.0,49.18,12.51182
aave-link-v1,alink,Aave LINK v1,13.62,0.0,0.0,2.55356
ada-peepos,fren,FREN,1.47e-06,0.0,9528.16,2.61295
aave-amm-bptbalweth,aammbptbalweth,Aave AMM BptBALWETH,62.42,0.0,0.0,3.3303
aave-snx-v1,asnx,Aave SNX v1,0.593159,0.0,0.0,1.38288
4-way-mirror-money,4wmm,4-Way Mirror Money,73.94,0.0,125.13,8.2141
aave-tusd-v1,atusd,Aave TUSD v1,0.998901,0.0,0.0,0.225
1000bonk,1000bonk,1000BONK,0.01477644,0.0,415467.0,2.06282
abe,abe,ABE,7.446e-05,0.0,55.1,1.15747
aave-v3-usdbc,abasusdbc,Aave v3 aBasUSDbC,0.99989,0.0,6.13,0.00097
2g-carbon-coin,2gcc,2G Carbon Coin,0.00973054,0.0,222874.0,-0.82062
0x678-landwolf-1933,wolf,Landwolf,4.7447e-08,0.0,283.71,
aeron,arnx,Aeron,8.10109e-07,0.0,16.35,-19.83817
agro-global,agro,Agro Global Token,0.00030171,0.0,29320.0,7.09424
aave-v3-usdc-e,ausdc.e,Aave v3 USDC.e,0.999858,0.0,1.63,-0.00124
aave-link,alink,Aave LINK,13.61,0.0,0.0,2.52306
acmfinance,acm,acmFinance,0.140649,0.0,39.04,-0.00395
aave-v3-wmatic,awmatic,Aave v3 WMATIC,0.192487,0.0,0.0,7.24744
ai-supreme,aisp,AI Supreme,0.00028419,0.0,1.81,
ailayer-token,ail,AILayer Token,0.00116214,0.0,165909.0,-0.85076
aave-v3-knc,aknc,Aave v3 KNC,0.288038,0.0,0.0,-1.93695
1000cat,1000cat,1000CAT,0.00765466,0.0,5963349.0,0.56932
aave-gusd,agusd,Aave GUSD,0.999366,0.0,0.0,0.08779
aave-usdc-v1,ausdc,Aave v1 USDC,0.999231,0.0,0.0,0.08628
aave-crv,acrv,Aave CRV,0.524019,0.0,0.0,1.42221
ai-protocol-2,ai,AI Protocol,0.151818,0.0,0.0,
aave-amm-weth,aammweth,Aave AMM WETH,2518.9,0.0,0.0,3.43854
aave-dai,adai,Aave DAI,0.99927,0.0,1000.15,-0.06222
aastoken,aast,AASToken,0.00409917,0.0,11566.18,-5.25179
aave-v3-arb,aarb,Aave v3 ARB,0.3449,0.0,0.0,-0.51918
9-5,9-5,9to5,4.73e-06,0.0,8.94,
1million-nfts,1mil,1MillionNFTs,0.01996188,0.0,1.57,
aicell,aicell,AICell,0.00184001,0.0,1255575.0,-11.91671
aave-v3-ens,aens,Aave v3 ENS,19.13,0.0,0.0,2.92391
1000sats-ordinals,1000sats,1000SATS (Ordinals),3.848e-05,0.0,6192809.0,0.63269
ai-waifu-2,wai,AI Waifu,0.089749,0.0,118802.0,-0.85763
ai-community,ai,AI Community,0.00025776,0.0,769.67,5.67321
1rus-dao,1rusd,1RUS DAO,0.00014452,0.0,176.69,2.01696
aave-weth,aweth,Aave WETH,2517.47,0.0,97.58,3.35195
adamant,addy,Adamant,0.02022257,0.0,38.49,2.76678
aicean,aice,Aicean,2.38,0.0,7514225.0,1.56476
aave-wbtc-v1,awbtc,Aave WBTC v1,109028.0,0.0,0.0,1.31464
